name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
virginia,2019-01-01,67.8,47.5,62.2,67.8,45.5,62.1,51.4,69,0,0,0,,0,0,30.8,20.2,248.1,1015.9,57.3,9.9,39.1,3.5,2,,2019-01-01T07:24:36,2019-01-01T17:02:05,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-02,48.7,39,44.8,47.5,39,43.5,37.7,76.5,0.009,100,8.33,rain,0,0,14.3,8.2,93.1,1024.3,78.9,9.9,25.7,2.3,1,,2019-01-02T07:24:45,2019-01-02T17:02:53,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-03,52.2,38.2,46.3,52.2,38.2,45,43.2,89.2,0.172,100,45.83,rain,0,0,16.8,8.6,250.5,1016.9,65.9,8,31.5,2.6,1,,2019-01-03T07:24:51,2019-01-03T17:03:42,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-04,49.5,39.7,45.1,48.5,38.5,43.2,42.7,91.3,0.093,100,20.83,rain,0,0,34.6,13.5,107.2,1014.6,87.1,6.6,21.4,1.8,1,,2019-01-04T07:24:56,2019-01-04T17:04:33,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-05,57.8,45.2,50.6,57.8,42.7,49.2,42.9,76.9,0.075,100,29.17,rain,0,0,28,18.9,278.3,1004.3,55.1,7.1,70.2,6,4,,2019-01-05T07:24:58,2019-01-05T17:05:25,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-06,63.3,39.3,49.7,63.3,35.5,47.5,35.1,58.9,0,0,0,,0,0,18.3,11.3,283.5,1018.8,26,9.9,84.5,7.2,5,,2019-01-06T07:24:58,2019-01-06T17:06:19,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-07,43.8,37.1,40.4,41,32.4,36.1,28,61.4,0,0,0,,0,0,17.7,9,86.9,1029.5,55.5,9.9,57.7,4.9,3,,2019-01-07T07:24:57,2019-01-07T17:07:13,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-08,62.8,42,52,62.8,37.7,50.8,43.4,73,0,0,0,,0,0,27.1,14.1,205.3,1015.5,65.4,9.9,57,5,4,,2019-01-08T07:24:53,2019-01-08T17:08:08,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-09,57.5,35.7,46.4,57.5,26.2,41.7,25.1,44.1,0.005,100,4.17,rain,0,0,33.5,20,295.2,1010.7,45.7,9.9,88,7.6,5,,2019-01-09T07:24:47,2019-01-09T17:09:05,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2019-01-10,38.9,27.3,33,29.7,18.4,23.9,11.9,41.5,0,0,0,,0,0,31.5,20.9,303.4,1018.3,24.5,9.9,104.1,9,5,,2019-01-10T07:24:39,2019-01-10T17:10:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,72401013740,F0267,KW96,KOFP,72308493775"
