name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
virginia,2018-01-01,25.7,10.2,17.2,20.8,2.2,9.3,2.1,53.4,0,0,0,,0,0,23.6,15.3,337.7,1032.9,12.2,9.8,100.8,8.7,5,,2018-01-01T07:24:38,2018-01-01T17:02:16,0.5,Clear,Clear conditions throughout the day.,clear-day,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
virginia,2018-01-02,28.7,9.9,17.5,23,-3.2,10.5,-0.6,46.2,0,0,0,,0,0,15.7,11.2,339.1,1034.6,0,9.9,101.5,8.8,5,,2018-01-02T07:24:46,2018-01-02T17:03:04,0.52,Clear,Clear conditions throughout the day.,clear-day,"KPTB,KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
virginia,2018-01-03,33.7,7.8,22.4,33.1,7.8,19.9,5,51.8,0,0,0,"rain,snow",0.3,0.1,23,14,20.9,1023.8,59.7,9.5,66,5.6,4,,2018-01-03T07:24:52,2018-01-03T17:03:54,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPTB,72050100155,KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775,72028503734"
virginia,2018-01-04,28.8,18.8,24.6,16.2,5,11.7,12,61.8,0.176,100,33.33,snow,0.5,0.6,36.5,22.7,321.4,1008.5,68.1,5.7,56.1,4.7,1,,2018-01-04T07:24:56,2018-01-04T17:04:45,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KPTB,72050100155,KRIC,AS694,72401013740,F0267,KW96,K7W4,KOFP,72308493775,72028503734"
virginia,2018-01-05,24.8,12.2,17.8,12,-2.3,5.2,-3.4,38.8,0,0,0,,0,0.5,29.3,19.9,281.9,1021.3,4.1,9.9,113.2,10,5,,2018-01-05T07:24:58,2018-01-05T17:05:38,0.62,Clear,Clear conditions throughout the day.,clear-day,"KPTB,KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
virginia,2018-01-06,21.6,2.2,13.9,8.8,-6.7,3.1,-4.9,43.7,0,0,0,,0,0.5,25.1,17.3,300.3,1031.5,0,9.9,105.7,9.2,5,,2018-01-06T07:24:58,2018-01-06T17:06:31,0.65,Clear,Clear conditions throughout the day.,clear-day,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775,72028503734"
virginia,2018-01-07,22.1,-2.5,11.1,20.7,-2.5,7.5,-2.8,55.1,0,0,0,,0,0.4,15.9,8.1,181.8,1037.1,24.4,9.7,103.6,8.9,5,,2018-01-07T07:24:55,2018-01-07T17:07:26,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
virginia,2018-01-08,45.7,16.1,30,39.8,5.4,21.9,17.1,59.9,0.095,100,29.17,rain,0,0.3,25.3,15.5,204.1,1026,74,9.7,67.1,5.9,4,,2018-01-08T07:24:51,2018-01-08T17:08:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,AS694,72401013740,F0267,KW96,K7W4,KOFP,72308493775,72028503734"
virginia,2018-01-09,55.3,29.2,41.2,55.3,29.2,39.3,33.7,77.3,0.009,100,4.17,rain,0,0.3,19.7,11.4,273,1024.6,33.3,9.5,145.8,12.6,5,,2018-01-09T07:24:45,2018-01-09T17:09:18,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775,72028503734"
virginia,2018-01-10,44.7,28.1,37.2,43.3,22.9,35.4,31.9,81.9,0,0,0,,0,0.1,11.4,6,12.3,1030.2,77,8.9,34.3,2.9,2,,2018-01-10T07:24:37,2018-01-10T17:10:16,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
virginia,2018-01-11,66.8,35.9,52.3,66.8,35.9,52.2,46.3,80.6,0.024,100,16.67,rain,0,0,21.3,11.5,141.1,1026.1,91.6,9,57.6,4.9,3,,2018-01-11T07:24:26,2018-01-11T17:11:15,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KRIC,72401013740,F0267,KW96,K7W4,KOFP,72308493775"
